Project_ID,Area_Type,Built_Up_Area_sqft,Floors,Wall_Thickness_inches,Roof_Type,Soil_Type,Paint_Type,Flooring,Construction_Quality,Cement_Required_bags,Sand_Required_m3,Aggregate_Required_m3,Steel_Required_kg,Bricks_Required_units,Paint_Required_litres,Total_Material_Cost_INR,Labour_Cost_INR,Total_Construction_Cost_INR
P0070,Urban,1149,1,4.5,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,444,28.3,18.4,4236,9408,463,2702682,1761248,4463930
P0071,Urban,1086,1,6.0,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,436,29.5,21.2,4101,10824,403,2467185,1845163,4312348
P0072,Urban,1779,3,9.0,RCC Flat Roof,Soft,Apex Weather Proof,Italian Marble,Premium,768,42.6,35.5,7089,14667,816,8383608,6086340,14469948
P0073,Rural,1458,1,6.0,RCC Flat Roof,Medium,Royal Emulsion,Imported Vitrified Tiles,Premium,562,38.5,23.2,6354,14052,628,8978301,5920610,14898911
P0074,Urban,1124,1,4.5,RCC Flat Roof,Soft,Standard Acrylic,Ceramic Tiles,Basic,446,25.5,17.3,4742,9936,546,2702285,1768882,4471167
P0075,Urban,1428,2,6.0,Slab Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,555,37.2,23.7,5978,11622,537,4654638,2959138,7613776
P0076,Urban,1277,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,512,33.1,25.1,5582,12172,597,4701433,3135607,7837040
P0077,Urban,1168,1,4.5,RCC Flat Roof,Medium,Standard Acrylic,Ceramic Tiles,Basic,474,32.5,18.2,4581,9442,538,3018340,1888854,4907194
P0078,Urban,1482,3,9.0,RCC Flat Roof,Medium,Apex Weather Proof,Granite,Premium,621,38.2,26.2,6128,13189,567,8106468,6185239,14291707
P0079,Urban,1414,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,610,31.5,27.6,6154,13200,620,4456321,2806994,7263315
P0080,Urban,1461,3,6.0,RCC Flat Roof,Soft,Apex Weather Proof,Granite,Premium,561,39.4,26.3,5281,11962,710,6238487,4156358,10394845
P0081,Semi-Urban,1014,1,6.0,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,409,23.3,16.1,4510,9014,474,2919465,1959513,4878978
P0082,Semi-Urban,1409,1,6.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,585,36.4,21.6,5289,12291,593,4013281,3118411,7131692
P0083,Urban,1492,2,9.0,RCC Flat Roof,Hard,Royal Emulsion,Granite,Premium,623,40.5,22.7,6465,14454,585,6691228,4692843,11384071
P0084,Urban,1505,2,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,608,37.7,29.2,6010,14153,750,6299340,4793208,11092548
P0085,Urban,1507,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,648,41.8,28.0,6574,12062,689,7300766,4672114,11972880
P0086,Urban,1545,1,9.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,668,34.6,23.8,5955,15269,695,8625133,5732854,14357987
P0087,Urban,1415,2,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,611,35.6,27.1,6355,13640,642,4495064,3098596,7593660
P0088,Urban,1362,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,598,33.3,21.0,5505,13243,597,4063442,3020949,7084391
P0089,Urban,1121,2,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,481,29.3,18.9,4110,9933,416,2729731,1720391,4450122
P0090,Urban,1306,2,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,505,35.4,23.1,5670,11963,566,4051681,3102777,7154458
P0091,Urban,1775,3,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,725,43.3,29.4,6473,15931,655,9066591,5793535,14860126
P0092,Urban,1184,2,9.0,Slab Roof,Soft,Plastic Emulsion,Ceramic Tiles,Standard,482,28.8,19.8,4785,9837,512,4369587,3005215,7374802
P0093,Semi-Urban,1128,1,6.0,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,447,30.4,20.0,4134,10339,563,2750498,2083151,4833649
P0094,Semi-Urban,1422,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,555,38.6,26.4,6266,11752,624,4295175,2912133,7207308
P0095,Urban,1195,1,6.0,RCC Flat Roof,Soft,Distemper,Mosaic,Basic,533,27.4,20.7,5354,10715,573,2654231,1804234,4458465
P0096,Urban,1365,2,9.0,Slab Roof,Medium,Premium Acrylic,Ceramic Tiles,Standard,562,33.7,24.6,5584,13121,575,4515490,2770292,7285782
P0097,Urban,1374,2,6.0,Slab Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,611,30.4,23.9,5753,12977,623,3978262,3024905,7003167
P0098,Urban,1343,1,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,603,30.3,20.2,4759,11662,597,4151358,3207356,7358714
P0099,Urban,1587,2,9.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,611,38.8,27.0,5659,13803,581,8936012,5749442,14685454
P0100,Rural,1460,1,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Italian Marble,Premium,603,33.4,27.1,6083,12296,700,6051976,4309606,10361582
P0101,Urban,1454,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Imported Vitrified Tiles,Premium,613,35.1,26.5,5267,14216,618,6316667,4444980,10761647
P0102,Urban,1201,2,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,503,27.3,23.5,5069,10572,448,4673378,2951404,7624782
P0103,Semi-Urban,1760,3,9.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,755,39.4,33.8,6166,14948,811,7879060,5729547,13608607
P0104,Urban,1296,2,9.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,526,35.8,23.8,4686,10477,563,4532507,2827726,7360233
P0105,Semi-Urban,1124,1,6.0,RCC Flat Roof,Soft,Standard Acrylic,Mosaic,Basic,482,26.7,17.5,4812,10440,401,2719487,1956360,4675847
P0106,Rural,1440,2,6.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,565,36.4,24.6,6076,12588,691,7549083,4952922,12502005
P0107,Semi-Urban,1322,1,6.0,Slab Roof,Hard,Premium Acrylic,Ceramic Tiles,Standard,507,34.5,22.9,5392,10801,471,4677837,3118402,7796239
P0108,Semi-Urban,1002,1,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,389,24.5,17.5,3912,9079,440,2680775,2101239,4782014
P0109,Urban,1587,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,698,40.4,24.4,6161,13863,598,8684985,6132510,14817495
P0110,Urban,1454,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,651,39.4,22.0,6395,13909,679,6878811,4830207,11709018
P0111,Urban,1594,3,9.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,670,44.5,25.8,6424,14827,712,6835947,4678631,11514578
P0112,Semi-Urban,1489,1,6.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,650,38.4,25.2,6215,12685,598,6780859,4244046,11024905
P0113,Urban,996,1,6.0,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,381,24.4,16.4,4244,8673,490,2761284,1708703,4469987
P0114,Semi-Urban,1139,1,6.0,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,449,25.4,21.9,5104,10918,544,2831607,2097053,4928660
P0115,Rural,1401,2,9.0,Slab Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,590,31.4,25.4,6278,11740,656,4422323,2774602,7196925
P0116,Rural,1194,2,6.0,RCC Flat Roof,Soft,Standard Acrylic,Ceramic Tiles,Basic,473,29.6,22.6,5325,11375,571,2957152,2002982,4960134
P0117,Semi-Urban,1169,2,4.5,RCC Flat Roof,Medium,Distemper,Mosaic,Basic,503,26.4,20.0,4125,10476,525,2713293,2071127,4784420
P0118,Urban,1554,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,594,34.7,26.8,5867,14365,775,6991844,4997338,11989182
P0119,Urban,1142,1,4.5,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,437,25.4,18.1,4986,9781,562,2626831,1788772,4415603
P0120,Urban,1248,1,9.0,RCC Flat Roof,Medium,Premium Acrylic,Ceramic Tiles,Standard,509,33.2,23.9,5477,11343,475,4360965,3219123,7580088
P0121,Urban,995,1,4.5,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,434,26.9,16.6,4172,9494,445,2614313,1979489,4593802
P0122,Semi-Urban,1197,1,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,459,28.9,22.3,4429,10063,420,2661039,1878055,4539094
P0123,Semi-Urban,1731,2,9.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,697,45.5,33.0,6372,15132,840,6241899,4017605,10259504
P0124,Rural,1612,2,6.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,642,40.5,26.3,6655,14449,651,8496201,5275039,13771240
P0125,Semi-Urban,1756,1,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Imported Vitrified Tiles,Premium,752,46.2,30.4,7763,16487,806,6514441,4135265,10649706
P0126,Urban,1222,1,6.0,Slab Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,512,33.8,21.4,4741,10174,571,4715991,3091079,7807070
P0127,Urban,1065,1,6.0,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,442,27.9,18.8,4303,9435,422,2370580,1654612,4025192
P0128,Urban,1139,1,4.5,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,455,31.0,20.9,4893,9682,505,2948650,2012862,4961512
P0129,Semi-Urban,1609,2,6.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,657,44.4,27.6,7044,14820,622,8447287,6083148,14530435
P0130,Urban,1363,1,6.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,578,31.6,23.3,5794,11180,533,4228321,3105140,7333461
P0131,Urban,1367,2,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,537,34.8,21.9,5494,11138,602,4716456,3263911,7980367
P0132,Semi-Urban,1679,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,672,37.9,30.2,6923,15609,654,7377886,5775615,13153501
P0133,Rural,1665,2,9.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,652,37.8,28.7,6846,14029,817,6307012,4947452,11254464
P0134,Semi-Urban,1424,1,9.0,RCC Flat Roof,Soft,Royal Emulsion,Imported Vitrified Tiles,Premium,563,37.5,25.8,6036,12003,640,7742810,5383213,13126023
P0135,Semi-Urban,1193,2,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,454,30.5,21.6,4936,10121,545,2446872,1880172,4327044
P0136,Urban,1446,1,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Italian Marble,Premium,592,33.7,26.0,5921,12644,578,8820853,5566496,14387349
P0137,Urban,1226,2,6.0,RCC Flat Roof,Hard,Premium Acrylic,Vitrified Tiles,Standard,532,30.1,19.7,5271,10626,588,4607869,2885631,7493500
P0138,Semi-Urban,1336,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,568,36.9,20.5,5777,11469,556,3948854,3086153,7035007
P0139,Urban,1210,2,6.0,RCC Flat Roof,Hard,Premium Acrylic,Vitrified Tiles,Standard,494,33.3,18.8,4859,11583,594,4537640,2964990,7502630
P0140,Semi-Urban,1032,1,4.5,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,417,24.9,19.8,4426,8891,502,2978758,1847729,4826487
P0141,Urban,1055,1,4.5,RCC Flat Roof,Soft,Distemper,Mosaic,Basic,426,26.5,20.0,4625,9167,442,2546776,1807648,4354424
P0142,Urban,1638,2,6.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,622,43.1,30.6,6576,13632,593,6441815,5037898,11479713
P0143,Urban,1271,1,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,488,30.9,20.6,4727,12607,562,4682533,3208321,7890854
P0144,Urban,1418,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,595,31.4,28.0,5950,12749,694,7121005,5023715,12144720
P0145,Rural,1668,2,9.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,726,37.4,29.0,6773,15440,756,7225285,5336138,12561423
P0146,Urban,1519,3,9.0,RCC Sloped Roof,Hard,Lustre Paint,Italian Marble,Premium,633,38.1,29.0,5931,13623,534,7960412,5656805,13617217
P0147,Semi-Urban,1197,1,6.0,RCC Flat Roof,Hard,Premium Acrylic,Ceramic Tiles,Standard,500,33.4,20.7,4804,11944,460,4325430,2690077,7015507
P0148,Urban,1152,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,490,30.2,17.3,4282,10740,486,4172350,3274036,7446386
P0149,Semi-Urban,1606,1,9.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,686,42.6,24.2,5953,15138,655,8314949,5549098,13864047
P0150,Urban,1799,3,9.0,RCC Flat Roof,Medium,Royal Emulsion,Granite,Premium,703,44.7,33.4,6783,15119,714,6867325,5086450,11953775
P0151,Urban,1153,2,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,474,32.0,19.8,4668,10453,513,2676565,1748285,4424850
P0152,Urban,1555,2,6.0,RCC Flat Roof,Medium,Lustre Paint,Granite,Premium,680,38.5,31.0,6665,14846,718,7194682,5448939,12643621
P0153,Urban,1421,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Granite,Premium,572,38.9,27.6,5435,13928,709,7509317,4810633,12319950
P0154,Semi-Urban,1331,2,9.0,Slab Roof,Soft,Premium Acrylic,Ceramic Tiles,Standard,568,29.3,23.1,5418,11457,529,4477492,2771516,7249008
P0155,Semi-Urban,1131,1,4.5,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,479,30.1,17.2,4905,10449,491,2897272,1951906,4849178
P0156,Semi-Urban,1424,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Granite,Premium,597,38.7,24.1,5512,13153,633,7607625,5327056,12934681
P0157,Urban,1395,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,596,33.8,27.5,5115,12556,632,4510189,2983958,7494147
P0158,Semi-Urban,1032,2,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,424,28.6,15.8,4319,8307,387,2510512,1764775,4275287
P0159,Urban,1565,2,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,695,39.9,28.1,6032,12682,555,7861046,5567455,13428501
P0160,Urban,1265,1,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,513,33.9,24.6,4585,10627,483,4575310,3031536,7606846
P0161,Semi-Urban,1356,2,6.0,RCC Flat Roof,Hard,Premium Acrylic,Ceramic Tiles,Standard,596,37.5,20.9,5268,11040,517,4371487,3247504,7618991
P0162,Urban,1201,2,6.0,Slab Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,469,27.9,21.8,4467,9657,569,4229836,3038726,7268562
P0163,Urban,1185,1,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,457,29.5,19.6,4815,11385,439,4343820,2958658,7302478
P0164,Urban,1261,1,9.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,504,30.5,20.1,4851,11468,628,4285390,2858688,7144078
